Country,Code,Year,Tourism
Mauritius,MUS,2019,1418000
Mexico,MEX,2019,97406000
Micronesia (country),FSM,2019,18000
Middle East & North Africa,,2019,127987048
Middle East & North Africa (IDA & IBRD),,2019,66910597
Middle East & North Africa (excluding high income),,2019,67608256
Middle income,,2019,757080294
Moldova,MDA,2019,174000
Monaco,MCO,2019,363000
Mongolia,MNG,2019,637000
Montenegro,MNE,2019,2510000
Morocco,MAR,2019,13109000
Mozambique,MOZ,2019,2033000
Myanmar,MMR,2019,4364000
Namibia,NAM,2019,1651000
Nepal,NPL,2019,1197000
Netherlands,NLD,2019,20129000
New Caledonia,NCL,2019,474000
New Zealand,NZL,2019,3888000
Nicaragua,NIC,2019,1455000
Niger,NER,2019,192000
North America,,2019,199244000
North Macedonia,MKD,2019,758000
Northern Mariana Islands,MNP,2019,487000
Norway,NOR,2019,5879000
OECD members,,2019,1342167593
Oman,OMN,2019,3506000
Other small states,,2019,51930012
Pacific island small states,,2019,1752270
Palau,PLW,2019,94000
Palestine,PSE,2019,688000
Panama,PAN,2019,2494000
Papua New Guinea,PNG,2019,211000
Paraguay,PRY,2019,4368000
Peru,PER,2019,5275000
Philippines,PHL,2019,8261000
Poland,POL,2019,88515000
Portugal,PRT,2019,17174000
Post-demographic dividend,,2019,1275198370
Puerto Rico,PRI,2019,4931000
Qatar,QAT,2019,2136500
Romania,ROU,2019,12815000
Russia,RUS,2019,24419000
Rwanda,RWA,2019,1634000
Saint Kitts and Nevis,KNA,2019,1107000
Saint Lucia,LCA,2019,1220000
Saint Vincent and the Grenadines,VCT,2019,392000
Samoa,WSM,2019,181000
San Marino,SMR,2019,1904000
Saudi Arabia,SAU,2019,20292000
Serbia,SRB,2019,1847000
Seychelles,SYC,2019,428000
Sierra Leone,SLE,2019,71000
Singapore,SGP,2019,19116000
Sint Maarten (Dutch part),SXM,2019,1952000
Slovenia,SVN,2019,4702000
Small states,,2019,74170634
Solomon Islands,SLB,2019,28900
South Africa,ZAF,2019,14797000
South Asia,,2019,26260132
South Asia (IDA & IBRD),,2019,26260132
South Korea,KOR,2019,17503000
Spain,ESP,2019,126170000
Sri Lanka,LKA,2019,2027000
Sub-Saharan Africa,,2019,55251254
Sub-Saharan Africa (IDA & IBRD),,2019,55251254
Sub-Saharan Africa (excluding high income),,2019,54779421
Sweden,SWE,2019,7616000
Switzerland,CHE,2019,11818000
Syria,SYR,2019,2424000
Tanzania,TZA,2019,1527000
Thailand,THA,2019,39916000
Timor,TLS,2019,74800
Togo,TGO,2019,876000
Tonga,TON,2019,94000
Trinidad and Tobago,TTO,2019,480000
Tunisia,TUN,2019,9429000
Turkey,TUR,2019,51747000
Turks and Caicos Islands,TCA,2019,1599000
Ukraine,UKR,2019,13710000
United Arab Emirates,ARE,2019,21553000
United Kingdom,GBR,2019,40857000
United States,USA,2019,166009000
United States Virgin Islands,VIR,2019,2074000
Upper middle income,,2019,564311982
Uruguay,URY,2019,3480000
Uzbekistan,UZB,2019,6749000
Vanuatu,VUT,2019,256000
Vietnam,VNM,2019,18009000
World,OWID_WRL,2019,2280131088
Zambia,ZMB,2019,1266000
Zimbabwe,ZWE,2019,2294000
